Language,Model,Documents,Total Entities,Entity Density,No Entity Rate (%),MISC,PERSON,ORG,GPE
english,spaCy_xx_ent_wiki_sm,20,93,7.62,0.0,15.0,12,39,27
arabic,spaCy_xx_ent_wiki_sm,20,20,2.15,25.0,7.0,9,2,2
english,XLM_Roberta_WikiANN,20,93,7.62,0.0,0.0,10,55,28
arabic,XLM_Roberta_WikiANN,20,64,6.88,0.0,0.0,2,33,29
